RESULTADO	PROGRAMA	CLASIFICACION	NPERSONAS	NIVELEDUC	OCUPADO	HOMBRE
-.092230774	0	-10	11	1	0	1
.0032500813	0	-9	6	2	0	1
.82091153	0	-1	3	0	1	0
.5617404	0	-4	4	4	0	0
.17109475	0	-3	4	5	0	1
-.27553532	0	-4	4	5	0	1
.20186232	0	-1	4	9	0	1
.17378807	0	-3	5	0	1	1
1.3377151	0	-4	5	0	1	1
.031343572	0	-4	5	0	1	1
.46951917	0	-3	5	0	1	0
.68343395	0	-1	5	3	1	1
.022209156	0	-4	6	1	1	0
.54417634	0	-3	6	9	0	1
1.1699133	0	-9	8	4	0	1
.13465552	0	-3	8	5	1	1
.47408402	0	-3	8	5	1	1
.94846225	0	-10	9	3	0	1
1.722644	0	-10	10	5	0	1
.30667478	0	-4	7	3	1	0
.0031910976	0	-3	7	3	1	1
.41890734	0	-10	7	0	0	0
-.030585634	0	-7	5	4	0	1
.17424066	0	-1	5	3	1	0
-.2204669	0	-2	5	3	1	0
1.398191	0	-3	5	7	0	0
.47174591	1	2	2	7	0	0
.21721432	0	-4	3	2	0	1
.84132344	1	5	3	2	1	1
.75285679	1	5	3	2	1	1
.6737873	1	2	3	2	1	0
.42990842	1	2	3	9	0	1
.43018904	1	4	4	3	1	0
.33145496	1	2	4	3	1	0
.47146583	1	2	4	3	1	1
.53886539	1	4	4	4	1	0
.01977919	1	2	4	4	1	0
.18839514	1	4	4	4	1	1
.47164679	0	-4	4	5	0	1
2.2939012	1	5	4	11	0	0
.83557516	1	2	4	11	0	0
.57496673	1	2	4	11	0	1
2.2928183	1	2	4	11	0	0
1.265618	1	4	4	11	0	0
.18470903	1	2	4	11	0	1
.58594888	1	3	4	11	0	0
1.3739008	1	3	4	11	0	1
-.37926924	1	2	4	11	0	0
.059710324	1	2	4	11	0	0
2.202718	1	2	4	11	0	0
.12376828	0	-5	5	5	0	1
.20711887	0	-4	5	5	0	0
.78918463	1	3	5	5	1	1
.67858511	1	2	5	5	1	0
.45273039	1	2	5	5	1	0
.5828259	1	4	5	5	1	0
.026745006	1	3	5	5	1	1
.28582188	1	4	5	5	1	1
.77422166	1	4	5	5	1	0
.12240325	1	2	5	5	1	1
1.7850697	1	2	5	6	1	1
.2926248	1	2	5	13	0	1
.34249914	0	-6	6	0	1	0
.14302136	1	3	6	14	0	1
.57656932	1	2	6	14	0	0
.86090636	1	4	6	15	0	0
.3884103	1	4	7	9	1	1
.60817415	0	-1	8	7	1	0
.24077104	1	4	8	11	1	0
-.20439892	0	-10	12	4	0	0
-.48465535	0	-5	6	0	1	0
.58130646	1	2	5	5	1	0
-.74830502	0	-7	8	0	1	0
1.0279131	0	-1	5	3	1	1
.16275643	0	-5	6	0	1	1
.2246097	0	-6	6	0	1	0
.2091326	1	4	4	3	1	0
.29955503	0	-1	4	0	1	1
.20262229	0	-1	4	1	1	0
.40165406	0	-3	4	5	0	0
-.95127892	1	1	5	4	1	0
.30896172	1	4	5	5	1	1
-1.0435401	0	-6	7	0	1	0
-.57542169	0	-6	8	1	1	1
.036421299	0	-7	8	2	1	0
-.096879289	0	-9	9	1	1	0
.067288607	0	-9	10	0	1	0
-.60920262	0	-4	6	1	1	0
1.3024354	0	-1	6	4	1	0
.26696572	0	-3	8	5	1	1
.15519963	0	-3	8	5	1	1
-.20148349	0	-9	11	4	1	1
-1.3060726	1	0	5	11	0	0
.1124038	0	-4	4	3	0	0
1.6600358	1	4	4	11	0	1
.30919725	0	-2	5	8	0	1
.31507003	1	0	5	11	0	0
-.22535014	0	-5	6	0	1	0
.27657384	0	-6	7	2	1	0
.56182957	0	-6	7	2	1	0
.2508851	0	-6	7	2	1	0
.23938915	0	-9	12	11	0	1
.049853772	0	-5	5	5	0	0
.2955364	0	-4	9	5	1	1
1.542919	1	0	3	7	0	0
.78966486	0	-1	4	0	1	1
.23251249	0	-5	4	3	0	1
.12921172	0	-5	4	3	0	0
.37317455	0	-4	5	0	1	0
-.0096650664	0	-3	5	0	1	0
.12629654	0	-7	5	2	0	1
.0697826	0	-1	5	4	1	0
.21358074	0	-9	6	0	0	1
.26766664	1	1	6	5	1	1
.45902044	0	-1	6	11	0	1
.17876065	0	-7	7	5	0	0
.50524485	0	-7	7	5	0	0
1.5015824	0	-8	8	0	1	0
-.27154142	0	-7	10	3	1	1
.27582344	0	-8	4	0	0	1
.49273372	1	3	5	5	1	1
-.59945464	0	-4	3	3	0	0
.49040753	1	4	4	11	0	0
1.9919817	1	4	6	7	1	0
-.96742731	0	-9	8	5	0	1
-.0494873	0	-3	8	5	1	0
.58468962	0	-1	4	0	1	1
.32534182	0	-2	5	3	1	1
2.709898	1	0	4	10	0	0
.61218476	1	2	4	11	0	1
-.30831376	0	-3	7	3	1	1
.53632355	1	0	3	0	1	0
.2255571	0	-2	3	5	0	0
.91344965	1	2	4	11	0	0
.50603515	1	4	4	11	0	1
-.027094889	0	-9	5	0	0	1
.027498264	0	-9	5	0	0	1
