INVSALES	treat	s	chica	id_firma	grande	PET	s2	s3	streat	streat2	streat3	notreat	snotreat	snotreat2	snotreat3	schica	schica2	schica3	sgrande	sgrande2	sgrande3	treatchica	streatchica	streatchica2	streatchica3	treatgrande	streatgrande	streatgrande2	streatgrande3	_est_A
.032815199	1	8	1	285	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
-.034770515	1	5	1	239	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
.37821102	1	13	1	179	0	88	169	2197	13	169	2197	0	0	0	0	13	169	2197	0	0	0	1	13	169	2197	0	0	0	0	1
-.045094665	1	8	1	268	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
.19800523	1	0	1	173	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
.065500222	1	4	1	298	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
-.050526317	1	20	1	307	0	95	400	8000	20	400	8000	0	0	0	0	20	400	8000	0	0	0	1	20	400	8000	0	0	0	0	1
.0077228448	1	0	1	286	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
-.13243788	1	10	1	280	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.15078512	1	4	1	186	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
.38404256	1	5	1	290	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
.02315899	1	16	1	77	0	91	256	4096	16	256	4096	0	0	0	0	16	256	4096	0	0	0	1	16	256	4096	0	0	0	0	1
.065415546	1	5	1	294	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
.044223651	1	7	1	156	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
.21071428	1	5	1	320	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
-.15440001	1	8	1	44	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
-.070209973	1	18	1	258	0	93	324	5832	18	324	5832	0	0	0	0	18	324	5832	0	0	0	1	18	324	5832	0	0	0	0	1
.0969657	1	22	1	60	0	97	484	10648	22	484	10648	0	0	0	0	22	484	10648	0	0	0	1	22	484	10648	0	0	0	0	1
.13533601	1	10	1	107	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
-.014610557	1	13	1	56	0	88	169	2197	13	169	2197	0	0	0	0	13	169	2197	0	0	0	1	13	169	2197	0	0	0	0	1
.048318516	1	7	1	309	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
.038611345	1	0	1	312	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
-.032895189	1	13	1	79	0	88	169	2197	13	169	2197	0	0	0	0	13	169	2197	0	0	0	1	13	169	2197	0	0	0	0	1
-.015336463	1	13	1	170	0	88	169	2197	13	169	2197	0	0	0	0	13	169	2197	0	0	0	1	13	169	2197	0	0	0	0	1
